2025-08-05 12:03:43 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:03:43 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:03:43 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:03:52 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:03:52 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:03:52 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:03:52 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:03:52 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:04:00 | DEBUG    | SMART.METRICS.__MAIN__    | [MAINTENANCE] Procesando: config\live_account_validator.py
2025-08-05 12:04:00 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: 1 correcciones
2025-08-05 12:04:59 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:04:59 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:04:59 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:04:59 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:04:59 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:05:23 | DEBUG    | SMART.METRICS.__MAIN__    | [MAINTENANCE] Procesando: config\live_account_validator.py
2025-08-05 12:05:23 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: 1 correcciones
2025-08-05 12:06:10 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:06:10 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:06:10 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:06:10 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:06:10 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
