[2025-08-09 16:21:30.354] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: str | Time: 3.0279159545898438e-05
[2025-08-09 16:21:30.356] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_reports | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.356] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.356] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: str | Time: 2.5987625122070312e-05
[2025-08-09 16:21:30.467] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | refresh_all_displays | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.467] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_header | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.468] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.468] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: str | Time: 3.3855438232421875e-05
[2025-08-09 16:21:30.469] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_overview | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.556] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.556] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.557] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: str | Time: 4.124641418457031e-05
[2025-08-09 16:21:30.558] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_performance | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.558] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.558] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: str | Time: 2.7179718017578125e-05
[2025-08-09 16:21:30.560] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.560] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.560] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: str | Time: 2.6702880859375e-05
[2025-08-09 16:21:30.561] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_reports | Args: NoneType | Result: NoneType | Time: None
