2025-08-05 07:54:07 | INFO     | SMART.DEBUG.MAIN          | [SEARCH] Iniciando auto-descarga inteligente de datos...
2025-08-05 07:54:17 | INFO     | SMART.DEBUG.MAIN          | [SUCCESS] Auto-descarga inteligente completada
2025-08-05 07:54:18 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 07:54:18 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 07:54:18 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 08:33:23 | INFO     | SMART.DEBUG.MAIN          | [SEARCH] Iniciando auto-descarga inteligente de datos...
2025-08-05 08:33:31 | INFO     | SMART.DEBUG.MAIN          | [SUCCESS] Auto-descarga inteligente completada
2025-08-05 08:33:32 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 08:33:32 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 08:33:32 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 09:26:19 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 09:26:19 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 09:26:19 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 09:48:42 | INFO     | SMART.DEBUG.VALIDADOR_MAESTRO | [SYMBOL] Test de logging INFO
2025-08-05 09:48:42 | WARNING  | SMART.DEBUG.VALIDADOR_MAESTRO | [SYMBOL] Test de logging WARNING
2025-08-05 09:54:49 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 09:54:49 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 09:55:57 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 09:55:57 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 09:55:57 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | AdvancedCandleDownloader inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | Worker thread iniciado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator iniciado correctamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | AdvancedCandleDownloader inicializado exitosamente
2025-08-05 10:01:21 | DEBUG    | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Todos los especialistas inicializados correctamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.ACC_ORCHESTRATOR | ACC Centro de Mando de Análisis activado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | Worker thread iniciado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator iniciado correctamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | AdvancedCandleDownloader inicializado exitosamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | Worker thread iniciado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator iniciado correctamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | AdvancedCandleDownloader inicializado exitosamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator inicializado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | Worker thread iniciado
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_COORDINATOR | CandleCoordinator iniciado correctamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | AdvancedCandleDownloader inicializado exitosamente
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | Descarga masiva iniciada: 1 símbolos, 1 timeframes
2025-08-05 10:01:21 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | Descarga completada: EURUSD M1 - 10 velas
2025-08-05 10:01:23 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | Deteniendo descargas...
2025-08-05 10:01:33 | INFO     | SMART.DEBUG.CANDLE_DOWNLOADER | Descargas detenidas
