2025-08-05 07:54:07 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [LAUNCH] Iniciando descarga automática: 30 conjuntos de datos
2025-08-05 07:54:07 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [ANALYTICS] CONFIRMACIÓN: Descargando datos REALES directos del broker MT5
2025-08-05 07:54:07 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando EURUSD H4...
2025-08-05 07:54:07 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Conectando a FundedNext MT5...
2025-08-05 07:54:07 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Conectando a FundedNext MT5: C:\Program Files\FundedNext MT5 Terminal\terminal64.exe
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] CUENTA DEMO detectada - Usando datos REALES de mercado para trading simulado
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [ANALYTICS] CONFIRMACIÓN: TODOS los datos de mercado son REALES desde MT5
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SEARCH] El sistema NUNCA simula precios - Solo obtiene datos directos del broker
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER |    Número de cuenta: 1511236436
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER |    Servidor: FTMO-Demo
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER |    Broker: FTMO Global Markets Ltd
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER |    Balance: 9996.50 USD
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Conectado a: FundedNext MT5 Terminal
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Conectado a FundedNext MT5 (info limitada)
2025-08-05 07:54:12 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando 30000 velas de EURUSD H4 desde FundedNext...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Guardado H4.csv: 30000 velas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] EURUSD H4: 30000 velas descargadas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando EURUSD H1...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando 30000 velas de EURUSD H1 desde FundedNext...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Guardado H1.csv: 30000 velas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] EURUSD H1: 30000 velas descargadas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando EURUSD M15...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando 30000 velas de EURUSD M15 desde FundedNext...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Guardado M15.csv: 30000 velas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] EURUSD M15: 30000 velas descargadas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando EURUSD M5...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando 30000 velas de EURUSD M5 desde FundedNext...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] Guardado M5.csv: 30000 velas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SUCCESS] EURUSD M5: 30000 velas descargadas
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando EURUSD M1...
2025-08-05 07:54:13 | INFO     | SMART.MT5.MT5_DATA_MANAGER | [SYMBOL] Descargando 30000 velas de EURUSD M1 desde FundedNext...
