time,open,high,low,close,tick_volume,spread,real_volume
1716269400,1.36387,1.36412,1.36362,1.36385,561,3,0
1716270300,1.36385,1.36405,1.36368,1.36377,519,3,0
1716271200,1.36378,1.36382,1.36352,1.3637299999999999,613,3,0
1716272100,1.36374,1.36403,1.36374,1.3639700000000001,476,3,0
1716273000,1.36398,1.36413,1.36389,1.36401,343,3,0
1716273900,1.36402,1.36408,1.36383,1.36388,261,3,0
1716274800,1.36389,1.36391,1.36372,1.36383,319,3,0
1716275700,1.36383,1.36388,1.36368,1.3637299999999999,331,4,0
1716276600,1.36372,1.36379,1.36344,1.36348,330,3,0
1716277500,1.36348,1.36371,1.36346,1.36356,292,4,0
1716278400,1.36356,1.3636,1.36337,1.36352,525,3,0
1716279300,1.36353,1.3636,1.3633899999999999,1.36347,324,3,0
1716280200,1.36347,1.36358,1.36334,1.36341,502,3,0
1716281100,1.36342,1.36377,1.3634,1.36348,436,3,0
1716282000,1.36346,1.36359,1.36317,1.36338,636,3,0
1716282900,1.36337,1.3633899999999999,1.3630200000000001,1.36319,528,3,0
1716283800,1.36318,1.36325,1.36284,1.36316,552,4,0
1716284700,1.36318,1.36371,1.3631,1.3633899999999999,688,3,0
1716285600,1.3633899999999999,1.36351,1.3627,1.3627099999999999,878,3,0
1716286500,1.3627,1.36292,1.3624800000000001,1.36283,653,3,0
1716287400,1.36283,1.36297,1.36262,1.36272,519,3,0
1716288300,1.36273,1.3636300000000001,1.3627099999999999,1.36356,542,3,0
1716289200,1.36355,1.36383,1.3633199999999999,1.36377,670,4,0
1716290100,1.36378,1.36383,1.36357,1.36367,620,3,0
1716291000,1.36367,1.3637299999999999,1.36321,1.3633199999999999,532,3,0
1716291900,1.36331,1.3635,1.3629,1.3630200000000001,459,4,0
1716292800,1.3630200000000001,1.36314,1.36259,1.36262,584,4,0
1716293700,1.36263,1.36282,1.36259,1.3627799999999999,498,3,0
1716294600,1.36277,1.36313,1.36276,1.36304,409,3,0
1716295500,1.3630499999999999,1.36316,1.36285,1.36296,451,4,0
1716296400,1.36297,1.36316,1.36272,1.36294,454,4,0
1716297300,1.36293,1.3631199999999999,1.3627,1.36291,499,3,0
1716298200,1.3629,1.3630900000000001,1.36286,1.36304,495,3,0
1716299100,1.36304,1.36308,1.3629,1.36298,323,3,0
1716300000,1.36297,1.36303,1.36265,1.36293,357,3,0
1716300900,1.36294,1.36308,1.36259,1.3626,485,4,0
1716301800,1.3626,1.36262,1.36213,1.36215,443,3,0
1716302700,1.36215,1.36236,1.3615599999999999,1.36159,563,3,0
