time,open,high,low,close,tick_volume,spread,real_volume
1145376000,1.1416,1.1441,1.141,1.1421000000000001,1685,40,0
1145390400,1.1419,1.1425,1.1396,1.1403,1448,40,0
1145404800,1.1408,1.1417,1.1392,1.1408,1089,40,0
1145419200,1.1408,1.141,1.1395,1.1397,1047,40,0
1145433600,1.1396,1.1401,1.1377,1.1381000000000001,1449,40,0
1145448000,1.1381999999999999,1.142,1.137,1.1391,1923,40,0
1145462400,1.1391,1.1395,1.1349,1.1362,1687,40,0
1145476800,1.1362,1.1368,1.135,1.1358,1229,40,0
1145491200,1.1358,1.1375,1.135,1.137,1077,40,0
1145505600,1.1369,1.1379,1.1365,1.137,1001,40,0
1145520000,1.137,1.1394,1.1367,1.1385,1325,40,0
1145534400,1.1385,1.1400000000000001,1.1356,1.1373,1685,40,0
1145548800,1.1373,1.1427,1.1367,1.1400000000000001,1844,40,0
1145563200,1.1401,1.1412,1.1384,1.1399,1321,40,0
1145577600,1.1398,1.1408,1.1393,1.1400000000000001,1028,40,0
1145592000,1.1398,1.1403,1.1384,1.1397,993,40,0
1145606400,1.1398,1.1418,1.1356,1.1365,1526,40,0
1145620800,1.1367,1.1394,1.1358,1.1373,1571,40,0
1145635200,1.1374,1.1398,1.1365,1.1372,1782,40,0
1145649600,1.1374,1.1386,1.1367,1.1373,1114,40,0
1145836800,1.1358,1.1375,1.135,1.1362,1186,40,0
1145851200,1.1362,1.1379,1.1360000000000001,1.1366,1216,40,0
1145865600,1.1367,1.1371,1.134,1.1356,1502,40,0
1145880000,1.1355,1.1397,1.1348,1.1396,1602,40,0
1145894400,1.1395,1.1404,1.1346,1.1358,1635,40,0
1145908800,1.1357,1.1376,1.1354,1.137,1296,40,0
1145923200,1.1371,1.1383,1.1360999999999999,1.1372,1030,40,0
1145937600,1.1371,1.1375,1.1362,1.1367,923,40,0
1145952000,1.1369,1.1391,1.1360000000000001,1.1385,1462,40,0
1145966400,1.1384,1.1391,1.1313,1.1327,1686,40,0
1145980800,1.1328,1.1347,1.131,1.1319,1619,40,0
1145995200,1.1318,1.1322,1.1303,1.1309,1186,40,0
1146009600,1.131,1.1320000000000001,1.1306,1.1313,985,40,0
1146024000,1.1314,1.1329,1.131,1.1324,1158,40,0
1146038400,1.1325,1.1337,1.1314,1.1324,1426,40,0
1146052800,1.1323,1.1332,1.1258,1.1267,1708,40,0
1146067200,1.1266,1.1287,1.1252,1.1284,1658,40,0
1146081600,1.1284,1.1289,1.1272,1.1278,1302,40,0
1146096000,1.1276,1.1282,1.1268,1.1273,981,40,0
1146110400,1.1273,1.1285,1.1268,1.1274,1081,40,0
1146124800,1.1273,1.1283,1.1264,1.1277,1419,40,0
1146139200,1.1277,1.1319,1.1262,1.1277,1660,40,0
1146153600,1.1277,1.1277,1.1215,1.1237,1945,40,0
1146168000,1.1239,1.1242,1.1218,1.1231,1290,40,0
1146182400,1.1231,1.1244,1.123,1.1237,981,40,0
1146196800,1.1237,1.1248,1.1234,1.1243,1071,40,0
1146211200,1.1246,1.1248,1.1227,1.1241,1408,40,0
1146225600,1.1241,1.1257,1.1196,1.1213,1555,40,0
1146240000,1.1211,1.1233,1.1179000000000001,1.1196,1751,40,0
1146254400,1.1196,1.1201,1.1162,1.1171,1259,40,0
1146441600,1.1175,1.1187,1.1168,1.1178,1025,40,0
1146456000,1.1179000000000001,1.1179000000000001,1.1157,1.116,1032,40,0
1146470400,1.116,1.1173,1.1155,1.1165,1105,40,0
1146484800,1.1166,1.1191,1.113,1.1143,1533,40,0
1146499200,1.1142,1.1156,1.1111,1.1122,1507,40,0
1146513600,1.1123,1.1151,1.1117,1.1146,1400,40,0
1146528000,1.1147,1.1161,1.114,1.1149,1115,40,0
1146542400,1.1148,1.1164,1.1144,1.1162,1123,40,0
1146556800,1.116,1.1169,1.1068,1.1077,1527,40,0
1146571200,1.1076,1.1099,1.106,1.1092,1633,40,0
1146585600,1.1092,1.1099,1.1061,1.1066,1525,40,0
1146600000,1.1065,1.1078000000000001,1.1051,1.1072,1328,40,0
1146614400,1.1069,1.1086,1.1024,1.1034,1256,40,0
1146628800,1.1035,1.1038000000000001,1.1011,1.1027,1124,40,0
1146643200,1.1026,1.1071,1.1019,1.105,1449,40,0
1146657600,1.1051,1.1082,1.1042,1.1058,1502,40,0
1146672000,1.1058,1.1101,1.1042,1.1068,1691,40,0
1146686400,1.1066,1.1093,1.106,1.1086,1254,40,0
1146700800,1.1086,1.11,1.1078999999999999,1.109,1126,40,0
1146715200,1.1091,1.1103,1.1089,1.1101,1070,40,0
1146729600,1.1096,1.1146,1.1094,1.1136,1596,40,0
1146744000,1.1136,1.1138,1.1074,1.1077,1652,40,0
1146758400,1.1077,1.1094,1.105,1.1082,1582,40,0
1146772800,1.1083,1.1107,1.1059,1.1088,1480,40,0
1146787200,1.1086,1.1101,1.1078000000000001,1.1098,1083,40,0
1146801600,1.1097,1.1106,1.1092,1.1098,1047,40,0
1146816000,1.1096,1.1103,1.107,1.1099,1419,40,0
1146830400,1.1098,1.1112,1.1057,1.1084,1710,40,0
1146844800,1.1085,1.1089,1.1052,1.1066,1423,40,0
1146859200,1.1068,1.1077,1.1045,1.1061,939,40,0
1147046400,1.1056,1.1066,1.1051,1.1061,1150,40,0
1147060800,1.1059,1.1065,1.1051,1.1057,1074,40,0
1147075200,1.1058,1.1064,1.1024,1.1027,1443,40,0
1147089600,1.1028,1.113,1.1023,1.1129,1699,40,0
1147104000,1.1129,1.1137,1.1111,1.1131,1527,40,0
1147118400,1.1132,1.1137,1.111,1.1127,1279,40,0
1147132800,1.1127,1.1133,1.1118999999999999,1.1121,1045,40,0
1147147200,1.1121,1.1134,1.1116,1.1124,1047,40,0
1147161600,1.1122,1.1168,1.1117,1.115,1493,40,0
1147176000,1.1151,1.1157,1.1033,1.1039,1649,40,0
1147190400,1.1039,1.104,1.0973,1.1007,1795,40,0
1147204800,1.1008,1.1015,1.0985,1.099,1288,40,0
1147219200,1.099,1.101,1.0988,1.1007,1111,40,0
1147233600,1.1006,1.1012,1.0997,1.1006,1076,40,0
1147248000,1.1005,1.102,1.0981,1.1008,1448,40,0
1147262400,1.1005,1.1019,1.0977999999999999,1.1005,1579,40,0
1147276800,1.1004,1.1024,1.0991,1.1005,1535,40,0
1147291200,1.1006,1.1033,1.0985,1.1015,1670,40,0
1147305600,1.1013,1.1063,1.1008,1.106,1216,40,0
1147320000,1.1061,1.1063,1.1034,1.1043,1206,40,0
1147334400,1.1043,1.1084,1.1021,1.1051,1509,40,0
1147348800,1.1051,1.1067,1.1012,1.1015,1576,40,0
1147363200,1.1018,1.1025,1.0977,1.1,1656,40,0
1147377600,1.1005,1.1041,1.1001,1.1035,1263,40,0
1147392000,1.1035,1.1036,1.0994,1.1016,1218,40,0
1147406400,1.1016,1.103,1.1001,1.1004,1285,40,0
1147420800,1.1005,1.1034,1.0997,1.1012,1664,40,0
1147435200,1.1012,1.1069,1.0993,1.1032,2101,40,0
1147449600,1.1031,1.11,1.1026,1.1085,1776,40,0
1147464000,1.1085,1.1102,1.1082,1.1091,1095,40,0
1147651200,1.1086,1.1103,1.1077,1.1097,1262,40,0
1147665600,1.1096,1.1128,1.1087,1.1091,1263,40,0
1147680000,1.1092,1.1176,1.1088,1.1161,1730,40,0
1147694400,1.1161,1.1179000000000001,1.1126,1.1143,1825,40,0
1147708800,1.1141,1.1159,1.1114,1.1134,1699,40,0
1147723200,1.1134,1.1149,1.1124,1.1129,1352,40,0
1147737600,1.113,1.1153,1.1126,1.1133,1082,40,0
1147752000,1.1133,1.1147,1.1118,1.1143,1197,40,0
1147766400,1.1142,1.1176,1.114,1.1164,1643,40,0
1147780800,1.1163,1.1171,1.1078000000000001,1.1106,1753,40,0
1147795200,1.1105,1.1126,1.1085,1.1092,1548,40,0
1147809600,1.1093,1.1099,1.1062,1.1072,1284,40,0
1147824000,1.1072,1.1082,1.1067,1.1067,1075,40,0
1147838400,1.107,1.1075,1.1056,1.1061,1174,40,0
1147852800,1.1062,1.1078999999999999,1.104,1.1056,1597,40,0
1147867200,1.1056,1.1078000000000001,1.1013,1.1062,1848,40,0
1147881600,1.1062,1.1139000000000001,1.1045,1.1134,1914,40,0
1147896000,1.1135,1.1155,1.1117,1.1154,1419,40,0
1147910400,1.1156,1.117,1.1146,1.1148,1234,40,0
1147924800,1.1149,1.1162,1.1144,1.1157,1200,40,0
1147939200,1.1156,1.1166,1.1117,1.1127,1519,40,0
1147953600,1.1127,1.1204,1.1096,1.1185,1858,40,0
1147968000,1.1185,1.1226,1.1176,1.1204,1846,40,0
1147982400,1.1204,1.1222,1.1187,1.1203,1402,40,0
1147996800,1.1204,1.1209,1.1173,1.1199,1238,40,0
1148011200,1.12,1.1211,1.1189,1.12,1325,40,0
1148025600,1.1195,1.1232,1.1193,1.1228,1560,40,0
1148040000,1.1227,1.1271,1.1213,1.1256,1825,40,0
1148054400,1.1255,1.1276,1.1204,1.1213,1728,40,0
1148068800,1.1212,1.1217,1.117,1.1191,1251,40,0
1148256000,1.1205,1.1229,1.1199,1.1217,924,40,0
1148270400,1.1216,1.1241,1.1212,1.1232,923,40,0
1148284800,1.1233,1.1271,1.1226,1.1249,1377,40,0
1148299200,1.125,1.1269,1.1211,1.1217,1529,40,0
1148313600,1.1217,1.1228,1.1174,1.1178,1775,40,0
1148328000,1.1176,1.1179999999999999,1.1123,1.1149,1382,40,0
1148342400,1.115,1.1177,1.1148,1.1167,1110,40,0
1148356800,1.1167,1.117,1.1131,1.1132,1129,40,0
1148371200,1.1133,1.1156,1.1124,1.115,1488,40,0
1148385600,1.115,1.1218,1.1127,1.119,1680,40,0
1148400000,1.1189,1.1197,1.1156,1.1157,1711,40,0
1148414400,1.1161,1.1261,1.1151,1.1243,1609,40,0
1148428800,1.125,1.1268,1.1223,1.1229,1384,40,0
1148443200,1.1229,1.1237,1.1207,1.1232,1188,40,0
1148457600,1.1232,1.1238,1.119,1.1219,1526,40,0
1148472000,1.1219,1.1253,1.1179999999999999,1.1208,1803,40,0
1148486400,1.1207,1.126,1.1205,1.1233,1742,40,0
1148500800,1.1233,1.1236,1.1186,1.1197,1415,40,0
1148515200,1.1195,1.1227,1.1195,1.1225,1218,40,0
1148529600,1.1225,1.1233,1.1198,1.1207,1319,40,0
1148544000,1.1206,1.1212,1.1131,1.1135,1538,40,0
1148558400,1.1135,1.117,1.1073,1.1078000000000001,1783,40,0
1148572800,1.1078000000000001,1.1099,1.1059,1.1071,1658,40,0
1148587200,1.1071,1.1081,1.1055,1.1065,1301,40,0
1148601600,1.1063,1.1094,1.1059,1.1083,1076,40,0
1148616000,1.1083,1.1108,1.1076,1.1095,1189,40,0
1148630400,1.1095,1.1106,1.1068,1.1092,1475,40,0
1148644800,1.1094,1.1096,1.1053,1.1077,1787,40,0
1148659200,1.1076,1.1114,1.1055,1.1077,1595,40,0
